agglo_id,TP,FP,FN
47175014506,3,0,1
42606784188,2,0,0
99463882503,1,0,0
3069568414,2,0,0
48743468816,2,0,0
98893274662,1,0,0
78282327546,1,0,0
80435669229,1,0,0
15279494048,1,0,0
75060135569,1,0,0
100133396023,1,0,0
30982111013,1,0,0
4348616898,1,0,3
3053814547,2,0,0
81904748172,1,0,0
40932665335,1,0,0
45632812596,3,0,0
31002334155,2,0,0
65169038293,2,0,0
56297937382,2,0,0
68777558866,2,0,0
86287997867,1,0,0
38340490262,1,0,0
39722883333,1,0,0
77526915716,1,0,0
2233238952,2,0,0
38064647464,1,0,0
50233324767,1,0,0
71589725480,1,0,0
37334831920,2,0,1
100062609654,1,0,0
82023702584,1,0,0
77127870746,1,0,1
73565941719,1,0,0
92099589923,1,0,0
75587450717,1,0,0
77234808361,1,1,0
54134639385,1,0,0
83478050120,2,0,1
32237141115,1,0,0
4895074217,2,0,0
84573839889,1,0,1
90016948378,1,0,1
72506697948,1,0,0
93667810400,1,0,0
56952529671,1,0,0
87147909900,1,0,0
100208094083,1,0,0
18728849943,1,0,0
72171415586,1,0,0
Total,66,1,9
,,,
,,,
,Precision,0.985074627,
,Sensitivity,0.88,
